source_id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,period_kind
61,ABB,2012-12,101.0,-59.0,-42.0,1.0,fiscal
73,ABB,2014-03,0.0,0.0,0.0,0.0,fiscal
74,ABB,2015-03,-35.0,-1864.0,1902.0,3.0,fiscal
75,ABB,2016-03,1544.0,-816.0,-722.0,6.0,fiscal
76,ABB,2017-03,2189.0,-1730.0,-455.0,4.0,fiscal
77,ABB,2018-03,2198.0,-3192.0,1589.0,596.0,fiscal
78,ABB,2019-03,2591.0,-3050.0,38.0,-421.0,fiscal
79,ABB,2020-03,5437.0,-5643.0,1250.0,1045.0,fiscal
80,ABB,2021-03,3784.0,-4009.0,-745.0,-969.0,fiscal
81,ABB,2022-03,4097.0,-3936.0,-235.0,-75.0,fiscal
82,ABB,2023-03,3777.0,-4699.0,923.0,2.0,fiscal
83,ABB,2024-03,6038.0,-4943.0,-543.0,551.0,fiscal
84,ADANIENSOL,2014-03,0.0,0.0,0.0,0.0,fiscal
85,ADANIENSOL,2015-03,-35.0,-1864.0,1902.0,3.0,fiscal
86,ADANIENSOL,2016-03,1544.0,-816.0,-722.0,6.0,fiscal
87,ADANIENSOL,2017-03,2189.0,-1730.0,-455.0,4.0,fiscal
88,ADANIENSOL,2018-03,2198.0,-3192.0,1589.0,596.0,fiscal
89,ADANIENSOL,2019-03,2591.0,-3050.0,38.0,-421.0,fiscal
90,ADANIENSOL,2020-03,5437.0,-5643.0,1250.0,1045.0,fiscal
91,ADANIENSOL,2021-03,3784.0,-4009.0,-745.0,-969.0,fiscal
92,ADANIENSOL,2022-03,4097.0,-3936.0,-235.0,-75.0,fiscal
93,ADANIENSOL,2023-03,3777.0,-4699.0,923.0,2.0,fiscal
94,ADANIENSOL,2024-03,6038.0,-4943.0,-543.0,551.0,fiscal
95,ADANIENT,2013-03,7666.0,-14790.0,7199.0,75.0,fiscal
96,ADANIENT,2014-03,8228.0,-8007.0,-1109.0,-888.0,fiscal
97,ADANIENT,2015-03,8532.0,-11465.0,3445.0,512.0,fiscal
98,ADANIENT,2016-03,5112.0,-1825.0,-3448.0,-161.0,fiscal
99,ADANIENT,2017-03,774.0,-1460.0,716.0,30.0,fiscal
