company_id,year,capital_allocation_label
ABB,2012-12,SELF_FUNDED_REINVESTMENT
ABB,2014-03,CASH_ACCUMULATION
ABB,2015-03,EXTERNALLY_FUNDED_INVESTMENT
ABB,2016-03,SELF_FUNDED_REINVESTMENT
ABB,2017-03,SELF_FUNDED_REINVESTMENT
ABB,2018-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ABB,2019-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ABB,2020-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ABB,2021-03,SELF_FUNDED_REINVESTMENT
ABB,2022-03,SELF_FUNDED_REINVESTMENT
ABB,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ABB,2024-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2014-03,CASH_ACCUMULATION
ADANIENSOL,2015-03,EXTERNALLY_FUNDED_INVESTMENT
ADANIENSOL,2016-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2017-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2018-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENSOL,2019-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENSOL,2020-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENSOL,2021-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2022-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENSOL,2024-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2013-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2014-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2015-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2016-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2017-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2018-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2019-03,ASSET_MONETISATION_AND_DELEVERAGING
ADANIENT,2020-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2021-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2022-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIENT,2023-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2017-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2018-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2019-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2020-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2021-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2022-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2023-03,SELF_FUNDED_REINVESTMENT
ADANIGREEN,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2013-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2014-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2015-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2016-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2017-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2018-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2019-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2020-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2021-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPORTS,2022-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2023-03,SELF_FUNDED_REINVESTMENT
ADANIPORTS,2024-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2013-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPOWER,2014-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIPOWER,2015-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2016-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2017-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2018-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2019-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2020-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2021-03,SELF_FUNDED_REINVESTMENT
ADANIPOWER,2022-03,ASSET_MONETISATION_AND_DELEVERAGING
ADANIPOWER,2023-03,ASSET_MONETISATION_AND_DELEVERAGING
ADANIPOWER,2024-03,ASSET_MONETISATION_AND_DELEVERAGING
AMBUJACEM,2012-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2013-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2014-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2015-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2016-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2017-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2018-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2019-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2020-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2021-12,SELF_FUNDED_REINVESTMENT
AMBUJACEM,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL
AMBUJACEM,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
