company_id,cluster_id,cluster_label
ABB,2,High ROE / High Cash Conversion
ADANIENSOL,1,Low Growth / Low ROE
ADANIENT,0,High Growth / Low Margin
ADANIGREEN,4,High Leverage / Low Cash Conversion
ADANIPORTS,0,High Growth / Low Margin
ADANIPOWER,2,High ROE / High Cash Conversion
AMBUJACEM,1,Low Growth / Low ROE
APOLLOHOSP,0,High Growth / Low Margin
ASIANPAINT,2,High ROE / High Cash Conversion
ATGL,0,High Growth / Low Margin
AXISBANK,4,High Leverage / Low Cash Conversion
BAJAJ-AUTO,2,High ROE / High Cash Conversion
BAJAJFINSV,4,High Leverage / Low Cash Conversion
BAJAJHLDNG,3,High Margin / Low ROE
BAJFINANCE,4,High Leverage / Low Cash Conversion
BANKBARODA,4,High Leverage / Low Cash Conversion
BEL,2,High ROE / High Cash Conversion
BHARTIARTL,1,Low Growth / Low ROE
BHEL,1,Low Growth / Low ROE
BOSCHLTD,0,High Growth / Low Margin
BPCL,2,High ROE / High Cash Conversion
BRITANNIA,2,High ROE / High Cash Conversion
CANBK,4,High Leverage / Low Cash Conversion
CHOLAFIN,4,High Leverage / Low Cash Conversion
CIPLA,3,High Margin / Low ROE
COALINDIA,2,High ROE / High Cash Conversion
DABUR,1,Low Growth / Low ROE
DIVISLAB,1,Low Growth / Low ROE
DLF,1,Low Growth / Low ROE
DMART,0,High Growth / Low Margin
DRREDDY,1,Low Growth / Low ROE
EICHERMOT,0,High Growth / Low Margin
GAIL,0,High Growth / Low Margin
GODREJCP,1,Low Growth / Low ROE
GRASIM,4,High Leverage / Low Cash Conversion
HAL,2,High ROE / High Cash Conversion
HAVELLS,0,High Growth / Low Margin
HCLTECH,1,Low Growth / Low ROE
HDFCBANK,4,High Leverage / Low Cash Conversion
HDFCLIFE,3,High Margin / Low ROE
HEROMOTOCO,3,High Margin / Low ROE
HINDALCO,3,High Margin / Low ROE
HINDUNILVR,3,High Margin / Low ROE
ICICIBANK,4,High Leverage / Low Cash Conversion
ICICIGI,3,High Margin / Low ROE
ICICIPRULI,3,High Margin / Low ROE
INDIGO,2,High ROE / High Cash Conversion
INDUSINDBK,4,High Leverage / Low Cash Conversion
INFY,2,High ROE / High Cash Conversion
IOC,0,High Growth / Low Margin
IRCTC,0,High Growth / Low Margin
IRFC,3,High Margin / Low ROE
ITC,2,High ROE / High Cash Conversion
JINDALSTEL,1,Low Growth / Low ROE
JIOFIN,3,High Margin / Low ROE
JSWENERGY,1,Low Growth / Low ROE
JSWSTEEL,0,High Growth / Low Margin
KOTAKBANK,3,High Margin / Low ROE
LICI,2,High ROE / High Cash Conversion
LODHA,0,High Growth / Low Margin
LT,2,High ROE / High Cash Conversion
LTIM,0,High Growth / Low Margin
M&M,0,High Growth / Low Margin
MARUTI,0,High Growth / Low Margin
MOTHERSON,1,Low Growth / Low ROE
NAUKRI,0,High Growth / Low Margin
NESTLEIND,2,High ROE / High Cash Conversion
NHPC,1,Low Growth / Low ROE
NTPC,1,Low Growth / Low ROE
ONGC,0,High Growth / Low Margin
PFC,4,High Leverage / Low Cash Conversion
PIDILITIND,0,High Growth / Low Margin
PNB,4,High Leverage / Low Cash Conversion
POWERGRID,3,High Margin / Low ROE
RECLTD,4,High Leverage / Low Cash Conversion
RELIANCE,0,High Growth / Low Margin
SBILIFE,1,Low Growth / Low ROE
SBIN,1,Low Growth / Low ROE
SHREECEM,1,Low Growth / Low ROE
SHRIRAMFIN,4,High Leverage / Low Cash Conversion
SIEMENS,1,Low Growth / Low ROE
SUNPHARMA,1,Low Growth / Low ROE
TATACONSUM,1,Low Growth / Low ROE
TATAMOTORS,2,High ROE / High Cash Conversion
TATAPOWER,0,High Growth / Low Margin
TATASTEEL,1,Low Growth / Low ROE
TCS,2,High ROE / High Cash Conversion
TECHM,1,Low Growth / Low ROE
TITAN,0,High Growth / Low Margin
TORNTPHARM,1,Low Growth / Low ROE
TRENT,0,High Growth / Low Margin
TVSMOTOR,4,High Leverage / Low Cash Conversion
