company_id,year,profitability_score,cash_quality_score,growth_score,leverage_score,health_score,health_band
INDIGO,2024-03,79.74,97.34,75.81,59.98,81.27,Excellent
IRCTC,2024-03,68.88,77.51,100.0,75.19,78.64,Good
ADANIPOWER,2024-03,73.29,77.52,88.77,52.91,74.6,Good
COALINDIA,2024-03,89.23,72.56,52.88,60.15,72.6,Good
HAL,2024-03,78.18,75.76,33.18,89.58,70.16,Good
BAJAJHLDNG,2024-03,58.35,69.07,57.06,100.0,67.55,Good
LICI,2024-03,50.22,69.97,66.67,100.0,66.9,Good
ABB,2024-03,57.31,97.14,20.54,86.58,66.29,Good
EICHERMOT,2024-03,47.06,74.42,64.04,86.51,64.58,Average
NESTLEIND,2024-03,66.39,81.17,34.12,66.3,64.36,Average
ITC,2024-03,63.72,80.27,17.43,95.83,64.24,Average
TCS,2024-03,70.41,82.76,16.59,76.15,64.21,Average
BEL,2024-03,70.35,70.32,24.34,90.13,64.11,Average
TRENT,2024-03,45.96,78.09,75.81,57.85,63.35,Average
BOSCHLTD,2024-03,31.1,74.23,82.51,76.04,61.06,Average
SUNPHARMA,2024-03,32.15,87.37,61.1,71.03,60.34,Average
ADANIPORTS,2024-03,49.91,90.19,41.18,47.16,59.84,Average
BAJAJ-AUTO,2024-03,42.81,80.59,26.87,99.7,59.49,Average
TATAMOTORS,2024-03,30.59,94.04,59.35,49.63,58.23,Average
POWERGRID,2024-03,60.61,96.02,5.75,43.87,57.75,Average
JIOFIN,2024-03,50.0,57.01,39.78,100.0,57.56,Average
BRITANNIA,2024-03,61.27,86.94,1.21,60.85,56.89,Average
HINDALCO,2024-03,28.61,93.54,53.68,53.33,56.81,Average
LT,2024-03,53.68,86.7,14.68,59.82,56.71,Average
MARUTI,2024-03,19.43,78.4,68.25,84.85,56.7,Average
TITAN,2024-03,29.62,73.29,85.53,45.75,56.32,Average
HINDUNILVR,2024-03,54.69,87.18,6.84,63.24,56.15,Average
INFY,2024-03,48.86,80.61,17.31,75.61,56.09,Average
ASIANPAINT,2024-03,45.39,80.27,30.31,66.7,56.03,Average
LTIM,2024-03,33.27,78.51,52.5,67.09,55.76,Average
ICICIBANK,2024-03,49.92,90.13,48.11,8.94,55.47,Average
DRREDDY,2024-03,39.7,72.09,48.37,68.52,55.47,Average
HEROMOTOCO,2024-03,53.09,83.99,5.05,66.06,54.7,Average
LODHA,2024-03,19.32,74.15,87.94,52.37,54.45,Average
ONGC,2024-03,20.26,86.23,63.29,57.25,54.21,Average
ATGL,2024-03,30.15,86.94,44.0,56.62,53.93,Average
APOLLOHOSP,2024-03,10.01,85.05,85.19,50.94,53.7,Average
KOTAKBANK,2024-03,56.2,75.52,35.39,26.07,53.32,Average
ICICIGI,2024-03,43.84,77.23,19.07,71.2,53.01,Average
CIPLA,2024-03,48.37,75.51,19.59,63.28,52.99,Average
BPCL,2024-03,32.88,85.46,37.38,55.66,52.97,Average
PIDILITIND,2024-03,34.06,82.78,27.77,70.56,52.89,Average
TATAPOWER,2024-03,12.13,96.29,63.73,43.35,52.38,Average
HCLTECH,2024-03,36.48,86.84,15.71,66.79,51.98,Average
DLF,2024-03,33.5,76.05,36.67,67.19,51.95,Average
IOC,2024-03,19.28,87.52,51.83,54.68,51.57,Average
SIEMENS,2024-09,25.37,74.27,48.15,71.42,51.5,Average
TORNTPHARM,2024-03,39.25,92.8,8.77,54.49,51.5,Average
ADANIGREEN,2024-03,37.87,50.0,100.0,4.7,48.96,Weak
CANBK,2024-03,25.47,81.8,77.53,0.02,48.96,Weak
IRFC,2024-03,48.41,87.15,27.92,0.0,48.67,Weak
DMART,2024-03,11.12,74.34,57.58,71.02,48.36,Weak
DIVISLAB,2024-03,30.58,77.68,0.0,92.84,47.94,Weak
NAUKRI,2024-03,25.26,71.12,31.54,71.66,47.23,Weak
GAIL,2024-03,10.88,79.41,48.44,61.47,46.54,Weak
NHPC,2024-03,41.68,80.67,3.94,43.08,46.04,Weak
M&M,2024-03,18.26,51.31,87.31,43.73,45.8,Weak
JSWENERGY,2024-03,25.0,74.67,38.45,39.56,44.78,Weak
HDFCBANK,2024-03,40.54,70.29,47.3,0.0,44.74,Weak
BHARTIARTL,2024-03,20.64,100.0,7.95,38.83,44.64,Weak
DABUR,2024-03,29.19,79.67,0.68,68.1,44.47,Weak
RELIANCE,2024-03,11.13,86.5,30.44,53.49,43.96,Weak
MOTHERSON,2024-03,6.24,87.38,38.69,51.73,43.9,Weak
SBILIFE,2024-03,7.91,75.0,17.37,100.0,43.74,Weak
SHREECEM,2024-03,13.37,91.83,8.77,64.61,43.67,Weak
HAVELLS,2024-03,17.92,79.5,20.18,62.89,43.59,Weak
NTPC,2024-03,20.04,83.92,20.76,40.85,42.47,Weak
AXISBANK,2024-03,31.46,56.74,70.59,0.18,42.18,Weak
BANKBARODA,2024-03,25.46,57.93,78.21,0.1,41.95,Weak
HDFCLIFE,2024-03,29.3,67.0,5.56,66.63,41.46,Weak
PNB,2024-03,64.05,6.3,56.4,38.63,41.38,Weak
ADANIENSOL,2024-03,14.13,97.18,14.26,27.65,41.1,Weak
ADANIENT,2024-03,3.27,59.36,82.22,37.81,41.07,Weak
SBIN,2024-03,18.73,70.1,53.45,17.79,40.95,Weak
TECHM,2024-03,4.69,98.05,3.63,60.9,40.92,Weak
AMBUJACEM,2024-03,20.45,66.35,12.03,63.67,39.02,Weak
JINDALSTEL,2024-03,18.29,68.28,18.29,54.02,38.65,Weak
JSWSTEEL,2024-03,9.24,72.24,29.99,45.93,37.79,Weak
TVSMOTOR,2024-03,17.93,45.59,65.29,26.91,37.05,Weak
TATACONSUM,2024-03,7.71,77.29,7.54,58.7,36.2,Weak
BAJFINANCE,2024-03,35.59,0.0,73.16,46.9,34.12,Poor
INDUSINDBK,2024-03,28.55,29.09,56.3,0.14,30.0,Poor
GODREJCP,2024-03,3.75,50.0,5.88,59.24,26.37,Poor
SHRIRAMFIN,2024-03,29.9,0.0,61.4,18.16,25.47,Poor
RECLTD,2024-03,60.23,0.0,18.5,0.1,24.8,Poor
BAJAJFINSV,2024-03,33.65,0.0,41.72,26.22,24.06,Poor
ICICIPRULI,2024-03,40.31,0.0,0.0,66.15,24.03,Poor
GRASIM,2024-03,11.57,19.46,23.73,50.82,22.26,Poor
CHOLAFIN,2024-03,25.31,0.0,52.48,3.56,19.89,Poor
PFC,2024-03,47.69,0.0,15.96,0.0,19.88,Poor
TATASTEEL,2024-03,0.0,23.65,20.06,40.15,17.13,Poor
BHEL,2024-03,0.0,0.0,20.47,38.71,9.9,Poor
