table_name,rows_in,rows_out,rejected_rows,runtime_seconds,load_timestamp
companies,92,92,0,0.329427,2026-07-27T06:54:37.210915+00:00
profit_and_loss,1276,1073,203,0.223687,2026-07-27T06:54:37.444003+00:00
balance_sheet,1312,1140,172,0.159376,2026-07-27T06:54:37.609192+00:00
cash_flow,1187,1056,131,0.119418,2026-07-27T06:54:37.734160+00:00
analysis,20,16,4,0.011905,2026-07-27T06:54:37.751800+00:00
documents,1585,1456,129,0.10376,2026-07-27T06:54:37.859005+00:00
pros_and_cons,16,14,2,0.011008,2026-07-27T06:54:37.875099+00:00
sectors,92,92,0,0.019266,2026-07-27T06:54:37.897758+00:00
market_cap,552,552,0,0.045415,2026-07-27T06:54:37.947125+00:00
stock_prices,5520,5520,0,8.290038,2026-07-27T06:54:46.241497+00:00
financial_ratios_reference,1184,1041,143,0.153141,2026-07-27T06:54:46.413994+00:00
peer_groups,56,56,0,0.010545,2026-07-27T06:54:46.431829+00:00
