company_id,metric_type,source_text,issue
SBILIFE,compounded_sales_growth,TTM: 43%,NO_REGEX_MATCH
SBILIFE,compounded_profit_growth,TTM: 18%,NO_REGEX_MATCH
SBILIFE,stock_price_cagr,1 Year: -2%,NO_REGEX_MATCH
SBILIFE,roe,Last Year: 12%,NO_REGEX_MATCH
TCS,compounded_sales_growth,TTM: 5%,NO_REGEX_MATCH
TCS,compounded_profit_growth,TTM: 8%,NO_REGEX_MATCH
TCS,roe,Last Year: 52%,NO_REGEX_MATCH
HDFCBANK,compounded_sales_growth,TTM: 47%,NO_REGEX_MATCH
HDFCBANK,compounded_profit_growth,TTM: 27%,NO_REGEX_MATCH
HDFCBANK,roe,Last Year: 17%,NO_REGEX_MATCH
INFY,compounded_sales_growth,TTM: 3%,NO_REGEX_MATCH
INFY,compounded_profit_growth,TTM: 8%,NO_REGEX_MATCH
INFY,roe,Last Year: 32%,NO_REGEX_MATCH
