company_id,previous_year,previous_pattern,latest_year,latest_pattern
ABB,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
ADANIENSOL,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
ADANIENT,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ADANIGREEN,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
AXISBANK,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,EXTERNALLY_FUNDED_INVESTMENT
BAJAJ-AUTO,2023-03,ASSET_MONETISATION_AND_DELEVERAGING,2024-03,SELF_FUNDED_REINVESTMENT
BANKBARODA,2023-03,CASH_BURN_AND_CONTRACTION,2024-03,EXTERNALLY_FUNDED_INVESTMENT
BEL,2023-03,ASSET_MONETISATION_AND_DELEVERAGING,2024-03,SELF_FUNDED_REINVESTMENT
BRITANNIA,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,ASSET_MONETISATION_AND_DELEVERAGING
CANBK,2023-03,EXTERNALLY_FUNDED_INVESTMENT,2024-03,SELF_FUNDED_REINVESTMENT
DLF,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
GAIL,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
GODREJCP,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
HAVELLS,2023-03,ASSET_MONETISATION_AND_DELEVERAGING,2024-03,SELF_FUNDED_REINVESTMENT
HDFCBANK,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,ASSET_MONETISATION_AND_DELEVERAGING
HDFCLIFE,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
ICICIBANK,2023-03,EXTERNALLY_FUNDED_INVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
ICICIPRULI,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,ASSET_SALES_FUNDING_OPERATIONS
INDUSINDBK,2023-03,EXTERNALLY_FUNDED_INVESTMENT,2024-03,CASH_BURN_AND_CONTRACTION
IRFC,2023-03,RESTRUCTURING_WITH_EXTERNAL_SUPPORT,2024-03,SELF_FUNDED_REINVESTMENT
ITC,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,ASSET_MONETISATION_AND_DELEVERAGING
JINDALSTEL,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
JIOFIN,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,ASSET_SALES_FUNDING_OPERATIONS
KOTAKBANK,2023-03,EXTERNALLY_FUNDED_INVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
LODHA,2023-03,ASSET_MONETISATION_AND_DELEVERAGING,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
LT,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,ASSET_MONETISATION_AND_DELEVERAGING
MOTHERSON,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
PNB,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,EXTERNALLY_FUNDED_INVESTMENT
RELIANCE,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
SBIN,2023-03,EXTERNALLY_FUNDED_INVESTMENT,2024-03,SELF_FUNDED_REINVESTMENT
SHRIRAMFIN,2023-03,RESTRUCTURING_WITH_EXTERNAL_SUPPORT,2024-03,EXTERNALLY_FUNDED_INVESTMENT
SUNPHARMA,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
TATACONSUM,2023-03,SELF_FUNDED_REINVESTMENT,2024-03,EXPANSION_WITH_EXTERNAL_CAPITAL
TATAPOWER,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
TITAN,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
TORNTPHARM,2023-03,EXPANSION_WITH_EXTERNAL_CAPITAL,2024-03,SELF_FUNDED_REINVESTMENT
