peer_group_name,company_id,roe_percentile,opm_percentile,revenue_growth_percentile,fcf_conversion_percentile,debt_to_equity_percentile,composite_percentile
Automobiles,EICHERMOT,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.6857142857142857
Automobiles,BAJAJ-AUTO,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.6571428571428571
Automobiles,TATAMOTORS,1.0,0.2857142857142857,0.42857142857142855,1.0,0.42857142857142855,0.6285714285714286
Automobiles,HEROMOTOCO,0.42857142857142855,1.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.6
Automobiles,MARUTI,0.14285714285714285,0.14285714285714285,1.0,0.5714285714285714,1.0,0.5714285714285714
Automobiles,TVSMOTOR,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.45714285714285713
Automobiles,M&M,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.3999999999999999
Consumer Finance,BAJFINANCE,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8666666666666666
Consumer Finance,SHRIRAMFIN,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.7333333333333333
Consumer Finance,CHOLAFIN,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39999999999999997
FMCG,ITC,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,0.8
FMCG,HINDUNILVR,0.5714285714285714,1.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7714285714285715
FMCG,NESTLEIND,1.0,0.7142857142857143,1.0,0.42857142857142855,0.7142857142857143,0.7714285714285715
FMCG,BRITANNIA,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.45714285714285713
FMCG,GODREJCP,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,0.2857142857142857,0.45714285714285713
FMCG,DABUR,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.4285714285714285
FMCG,TATACONSUM,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.3142857142857143
IT Services,TCS,1.0,1.0,0.6,0.6,0.8,0.8
IT Services,INFY,0.8,0.8,0.8,0.4,0.6,0.68
IT Services,HCLTECH,0.6,0.6,0.4,0.8,1.0,0.68
IT Services,LTIM,0.4,0.4,1.0,0.2,0.2,0.44000000000000006
IT Services,TECHM,0.2,0.2,0.2,1.0,0.4,0.4
Life Insurance,LICI,1.0,0.5,0.5,1.0,0.875,0.775
Life Insurance,SBILIFE,0.75,0.25,1.0,0.75,0.875,0.725
Life Insurance,HDFCLIFE,0.5,0.75,0.75,0.5,0.5,0.6
Life Insurance,ICICIPRULI,0.25,1.0,0.25,0.25,0.25,0.4
Oil & Gas,BPCL,1.0,0.4,0.6,1.0,0.4,0.6799999999999999
Oil & Gas,ONGC,0.6,0.8,0.4,0.6,0.8,0.64
Oil & Gas,GAIL,0.4,0.6,1.0,0.2,1.0,0.64
Oil & Gas,IOC,0.8,0.2,0.8,0.8,0.2,0.56
Oil & Gas,RELIANCE,0.2,1.0,0.2,0.4,0.6,0.48
Pharmaceuticals,CIPLA,0.6,1.0,0.6,0.4,0.8,0.68
Pharmaceuticals,TORNTPHARM,1.0,0.8,0.4,1.0,0.2,0.68
Pharmaceuticals,DRREDDY,0.8,0.6,1.0,0.2,0.4,0.6
Pharmaceuticals,SUNPHARMA,0.4,0.2,0.8,0.8,0.6,0.56
Pharmaceuticals,DIVISLAB,0.2,0.4,0.2,0.6,1.0,0.48
Power & Utilities,ADANIPOWER,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,1.0,0.8
Power & Utilities,POWERGRID,0.8571428571428571,1.0,0.2857142857142857,1.0,0.7142857142857143,0.7714285714285715
Power & Utilities,NTPC,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5142857142857142
Power & Utilities,TATAPOWER,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.5142857142857142
Power & Utilities,ADANIGREEN,0.42857142857142855,0.8571428571428571,1.0,0.14285714285714285,0.14285714285714285,0.5142857142857142
Power & Utilities,NHPC,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.48571428571428565
Power & Utilities,JSWENERGY,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.39999999999999997
Private Banks,ICICIBANK,1.0,0.8,0.8,0.6,0.8,0.8
Private Banks,HDFCBANK,0.6,0.6,1.0,0.8,0.6,0.72
Private Banks,KOTAKBANK,0.2,1.0,0.4,1.0,1.0,0.72
Private Banks,AXISBANK,0.8,0.2,0.6,0.4,0.2,0.44000000000000006
Private Banks,INDUSINDBK,0.4,0.4,0.2,0.2,0.4,0.32
Public Sector Banks,CANBK,0.6666666666666666,1.0,0.5,1.0,0.3333333333333333,0.7
Public Sector Banks,BANKBARODA,0.3333333333333333,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6333333333333333
Public Sector Banks,PNB,1.0,,0.25,0.25,1.0,0.625
Public Sector Banks,SBIN,,0.3333333333333333,0.75,0.75,,0.611111111111111
Steel,HINDALCO,0.5,1.0,0.75,1.0,0.75,0.8
Steel,JINDALSTEL,1.0,0.75,0.25,0.5,1.0,0.7
Steel,JSWSTEEL,0.75,0.5,1.0,0.75,0.25,0.65
Steel,TATASTEEL,0.25,0.25,0.5,0.25,0.5,0.35
