company_id,year,net_profit_margin_pct,operating_profit_margin_pct,ebit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,interest_coverage_status,net_debt_cr,net_debt_to_ebitda,asset_turnover,fixed_asset_turnover,free_cash_flow_cr,cfo_to_pat,capex_intensity_pct,fcf_conversion_pct,book_value_per_share,earnings_per_share,dividend_payout_ratio_pct,revenue_cagr_3y,revenue_cagr_3y_flag,revenue_cagr_5y,revenue_cagr_5y_flag,revenue_cagr_10y,revenue_cagr_10y_flag,pat_cagr_3y,pat_cagr_3y_flag,pat_cagr_5y,pat_cagr_5y_flag,pat_cagr_10y,pat_cagr_10y_flag,eps_cagr_3y,eps_cagr_3y_flag,eps_cagr_5y,eps_cagr_5y_flag,eps_cagr_10y,eps_cagr_10y_flag,price_to_earnings,price_to_book,ev_to_ebitda,fcf_yield_pct,capital_allocation_label,profitability_score,cash_quality_score,growth_score,leverage_score,health_score,health_band,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,valuation_flag,broad_sector,sub_sector,composite_ranking_score
IRCTC,2024-03,26.01873536299766,34.33255269320843,35.48009367681499,34.39628482972136,46.048632218844986,18.240026268264653,0.018575851393188854,79.73684210526316,Levered,60.0,0.03816793893129771,0.7010343129207027,12.448979591836734,667.0,0.7938793879387939,5.035128805620609,60.03600360036003,40.375,14.0,47.0,76.46921430165466,OK,17.955244103890912,OK,,INSUFFICIENT,81.11627776293705,OK,29.16686408659448,OK,,INSUFFICIENT,91.29311827723889,OK,28.473515712343932,OK,,INSUFFICIENT,1132.7815391539154,389.6347647058824,937.6232061068702,0.05299874823631171,SELF_FUNDED_REINVESTMENT,68.88,77.51,100.0,75.19,78.64,Good,60.44,5.74,32.47,1.08,Caution,Consumer Discretionary,Travel & Tourism,79.43
BAJAJHLDNG,2024-03,432.7262044653349,91.7743830787309,440.36427732079903,13.576787656460265,13.80040508193703,11.302773131167417,0.0011613545449517945,3747.5,Levered,-64652.0,-8.587063355027228,0.026119918356071883,6.975409836065574,1469.0,0.26354378818737273,27.73207990599295,19.945689069925322,4887.117117117117,653.0,20.0,55.00574158769729,OK,31.612293448969165,OK,14.937545587928923,OK,26.318822706492305,OK,19.297559063731295,OK,13.992331678744474,OK,25.799750331593962,OK,18.96864732798973,OK,13.81670668377948,OK,297.5652586558045,40.39980330709532,362.12498472572713,0.06702962960133939,SELF_FUNDED_REINVESTMENT,58.35,69.07,57.06,100.0,67.55,Good,37.73,9.38,27.47,3.37,Fair,Financials,Holding Companies,69.93
COALINDIA,2024-03,26.25628846856468,66.29380849329698,40.196312638767886,45.16982956605826,64.09756534794349,15.802850255846407,0.0788468512027076,6.813839923773226,Levered,-587.0,-0.009179907418991618,0.6018691588785047,1.880900777078818,13617.0,0.48443897348069254,3.151963126387679,36.439294602477986,134.23657309751746,61.0,42.0,16.493956528516662,OK,7.402890725901301,OK,7.261143616999366,OK,43.28908935217686,OK,16.43231987118112,OK,9.476008121750844,OK,42.6823258428825,OK,16.851518569430034,OK,9.777126683205474,OK,12.149772271133829,5.488031427535356,8.988886994870512,2.9991751112119767,SELF_FUNDED_REINVESTMENT,89.23,72.56,52.88,60.15,72.6,Good,34.27,14.75,25.15,4.38,Discount,Materials,Mining & Metals,69.71
ITC,2024-03,29.282025230717128,37.0177518132814,38.41052126548698,27.851074395694365,36.38550995856169,22.61590775334045,0.004066731984914169,340.25,Levered,-30811.0,-1.0611310097809616,0.7723477995509732,2.5473040977713874,17179.0,0.8278637174112091,0.0,82.78637174112092,59.701121794871796,16.0,84.0,12.890307004910628,OK,7.950896846254429,OK,7.215836991741997,OK,15.743119736566346,OK,10.083407558317958,OK,8.711334464026654,OK,13.30326698854094,OK,9.856054330611785,OK,8.618098156466525,OK,16.011063563201773,4.459253224529239,12.712905703264912,5.170572923799317,ASSET_MONETISATION_AND_DELEVERAGING,63.72,80.27,17.43,95.83,64.24,Average,47.85,3.24,17.19,4.26,Fair,Consumer Staples,Diversified FMCG,66.41
NESTLEIND,2024-03,16.12281708616873,23.829630236943512,22.275969500696892,117.75449101796407,147.46268656716416,37.37527321106148,0.10329341317365269,37.47586206896552,Levered,-119.0,-0.019926322839919623,2.318160220469448,7.050289017341041,2938.0,1.0615306381896772,5.070919078461917,74.70124586829392,34.791666666666664,41.0,79.0,18.282008662499027,OK,14.548573711802671,OK,9.487020936359048,OK,22.913427743605965,OK,14.852319512993839,OK,12.745848564103014,OK,23.06098642720351,OK,15.43852585822143,OK,13.073350509641957,OK,426.58916603101954,502.3279011976048,280.85731413261885,0.17511285287273798,SELF_FUNDED_REINVESTMENT,66.39,81.17,34.12,66.3,64.36,Average,54.96,14.34,15.49,3.85,Fair,Consumer Staples,Food Products,65.04
TCS,2024-03,19.136712150207767,26.690688396923118,26.05928773355805,50.944313673485176,63.72449497512943,31.689259788825343,0.0886406082507266,80.68766066838046,Levered,-23741.0,-0.3503689492325856,1.6559406621205455,12.287951438481942,44338.0,0.9617996051975097,0.0,96.17996051975098,249.9696132596685,127.0,58.0,13.632864555506409,OK,10.463614801716602,OK,11.404391189817975,OK,12.286310199806593,OK,7.871172131953608,OK,9.07908137484088,OK,13.007434657986106,OK,8.618771612987096,OK,9.991915190476197,OK,10.00429835788195,5.0966211362707075,8.002215613931524,9.613863669307202,ASSET_MONETISATION_AND_DELEVERAGING,70.41,82.76,16.59,76.15,64.21,Average,78.69,6.08,29.94,1.62,Fair,Information Technology,IT Services,64.96
EICHERMOT,2024-03,24.195694242864054,26.179245283018872,31.767053701015964,22.172346910501524,28.449956672443673,17.309106640709494,0.023219728456636186,103.0,Levered,-13108.0,-2.24030080328149,0.7153796236210254,5.674673987645848,890.0,0.9307673081729567,17.138364779874212,22.24443889027743,668.3333333333334,146.0,35.0,23.776441520116,OK,11.036936496739692,OK,9.276892163329876,OK,43.747506025200565,OK,12.675841665377696,OK,22.51828946734826,OK,43.89717190746498,OK,12.505451629050324,OK,25.55272979365966,OK,55.58406148462884,12.32429093931837,40.054501794565034,0.4001945575069012,SELF_FUNDED_REINVESTMENT,47.06,74.42,64.04,86.51,64.58,Average,15.62,13.61,19.29,4.41,Discount,Consumer Discretionary,Two Wheelers,63.61
HINDUNILVR,2024-03,16.611735814915342,76.31672482874498,23.818986687346516,20.074973642078955,27.974270426169785,13.099924830230988,0.028974188761763442,18.045287637698898,Levered,-3141.0,-0.19681684316059903,0.7885945801322478,1.1516820482286394,10145.0,1.504473837774752,8.601525138942742,98.66757440186734,217.94893617021276,44.0,96.0,9.589435897156351,OK,9.504485244074123,OK,7.789742422365942,OK,8.729477470315782,OK,11.152950436803422,OK,10.022657733318274,OK,8.974425081854953,OK,9.460878422315755,OK,9.34980606439575,OK,53.38364034234584,10.716751727908157,36.8107888965474,1.8482736240750641,SELF_FUNDED_REINVESTMENT,54.69,87.18,6.84,63.24,56.15,Average,34.51,11.88,7.52,4.32,Discount,Consumer Staples,FMCG,61.15
HAL,2024-03,24.999177117277245,32.08913465652875,33.71185938580034,3816.5829145728644,3180.745341614907,1687.7777777777776,0.6180904522613065,238.1860465116279,Levered,80.0,0.006868131868131868,67.51333333333334,126.5875,1814.0,1.0830809743252139,21.105296073203647,23.884134298880845,199.0,114.0,31.0,9.909701355201484,OK,8.712548590236358,OK,7.216583450874392,OK,32.85327865470051,OK,26.485270563052985,OK,10.924924675843673,OK,33.420082436097246,OK,26.63896760913802,OK,15.073330286143992,OK,348.0733192890059,13284.506834170854,269.5983671016483,0.06861811283803056,SELF_FUNDED_REINVESTMENT,78.18,75.76,33.18,89.58,70.16,Good,71.89,3.65,8.76,2.77,Caution,Industrials,Defence & Aerospace,60.9
BAJAJ-AUTO,2024-03,17.178515712057056,19.534209939826162,22.509471807443727,26.61418410330778,32.713610157414,19.59129727531517,0.06601754022512257,168.33333333333334,Levered,-26175.0,-2.501194457716197,1.1404534363562424,13.947777432390426,6486.0,0.8508043591074209,0.16046356139959886,84.14634146341463,1038.0645161290322,276.0,29.0,17.384652616671946,OK,8.127604751021389,OK,8.341820762984753,OK,16.642781522818396,OK,9.358917170384974,OK,8.59316738465321,OK,17.995813862247644,OK,10.177276348465591,OK,8.961311524418347,OK,84.8232096523093,22.575005179200332,64.95976779741997,0.992020247858232,SELF_FUNDED_REINVESTMENT,42.81,80.59,26.87,99.7,59.49,Average,29.91,9.83,20.14,3.59,Fair,Consumer Discretionary,Two Wheelers,60.73
