company_id,year,broad_sector,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,sector_median_pe,valuation_flag
NAUKRI,2024,Communication Services,32.88,8.33,11.87,4.29,-0.026604025891463663,48.33,Discount
BHARTIARTL,2024,Communication Services,63.78,6.28,39.71,1.02,7.345106122639473,48.33,Fair
TRENT,2024,Consumer Discretionary,8.65,11.82,34.65,3.46,0.14720244295143942,38.005,Discount
MOTHERSON,2024,Consumer Discretionary,9.54,2.38,33.39,2.18,0.6329063689949501,38.005,Discount
TITAN,2024,Consumer Discretionary,10.13,10.51,21.0,3.1,0.0839572651499547,38.005,Discount
M&M,2024,Consumer Discretionary,14.22,0.81,29.08,2.37,-0.2694648852484086,38.005,Discount
EICHERMOT,2024,Consumer Discretionary,15.62,13.61,19.29,4.41,0.4001945575069012,38.005,Discount
MARUTI,2024,Consumer Discretionary,20.78,8.26,29.97,1.78,0.3282212496887102,38.005,Discount
BAJAJ-AUTO,2024,Consumer Discretionary,29.91,9.83,20.14,3.59,0.992020247858232,38.005,Fair
TVSMOTOR,2024,Consumer Discretionary,46.1,5.62,7.1,3.07,-0.8454886074536311,38.005,Fair
HEROMOTOCO,2024,Consumer Discretionary,53.86,12.6,28.27,1.91,0.19423862750722218,38.005,Fair
BOSCHLTD,2024,Consumer Discretionary,58.43,6.47,16.07,4.23,0.04820053793415996,38.005,Caution
IRCTC,2024,Consumer Discretionary,60.44,5.74,32.47,1.08,0.05299874823631171,38.005,Caution
TATAMOTORS,2024,Consumer Discretionary,67.07,0.93,15.35,3.65,3.000651602734764,38.005,Caution
DMART,2024,Consumer Discretionary,72.53,11.71,36.84,1.94,0.00910553222430331,38.005,Caution
INDIGO,2024,Consumer Discretionary,76.23,7.87,24.64,4.27,0.9056027172386589,38.005,Caution
GODREJCP,2024,Consumer Staples,33.59,8.07,23.55,3.09,-0.10280184353453976,50.95,Discount
HINDUNILVR,2024,Consumer Staples,34.51,11.88,7.52,4.32,1.8482736240750641,50.95,Discount
ITC,2024,Consumer Staples,47.85,3.24,17.19,4.26,5.170572923799317,50.95,Fair
DABUR,2024,Consumer Staples,50.95,13.59,12.02,3.42,1.8435351715372323,50.95,Fair
TATACONSUM,2024,Consumer Staples,54.79,7.14,24.84,1.87,0.007417056977403794,50.95,Fair
NESTLEIND,2024,Consumer Staples,54.96,14.34,15.49,3.85,0.17511285287273798,50.95,Fair
BRITANNIA,2024,Consumer Staples,63.91,4.26,33.95,1.88,0.7923121639717275,50.95,Fair
TATAPOWER,2024,Energy,14.5,3.48,12.02,0.49,0.2166615750083587,44.915,Discount
ONGC,2024,Energy,18.15,10.36,11.72,1.11,10.781545408672736,44.915,Discount
JSWENERGY,2024,Energy,24.79,9.88,35.95,1.25,-1.7705336124937798,44.915,Discount
GAIL,2024,Energy,25.84,9.54,33.07,0.31,0.28461990353382827,44.915,Discount
IOC,2024,Energy,28.61,4.24,33.71,1.25,2.794810104975634,44.915,Discount
NTPC,2024,Energy,30.8,5.24,37.12,0.06,0.9521678733206076,44.915,Discount
ADANIPOWER,2024,Energy,44.57,9.91,24.76,1.65,1.0326606815830142,44.915,Fair
ADANIGREEN,2024,Energy,45.26,6.24,21.78,0.89,-2.61443014217979,44.915,Fair
ATGL,2024,Energy,56.96,5.76,28.93,0.51,,44.915,Fair
RELIANCE,2024,Energy,58.34,3.25,24.96,4.21,10.453145124463461,44.915,Fair
ADANIENSOL,2024,Energy,58.5,9.05,14.83,1.65,0.3141880794689826,44.915,Fair
POWERGRID,2024,Energy,64.39,5.1,23.07,3.09,6.488733930345523,44.915,Fair
BPCL,2024,Energy,68.15,0.72,26.59,1.15,5.422883218663305,44.915,Caution
NHPC,2024,Energy,71.17,13.74,18.26,1.68,0.05573417784977254,44.915,Caution
INDUSINDBK,2024,Financials,8.99,3.7,28.79,1.42,-0.9664534641259643,34.24,Discount
IRFC,2024,Financials,9.81,3.91,16.66,2.82,0.3019460457018293,34.24,Discount
BAJAJFINSV,2024,Financials,15.07,6.08,39.72,2.56,-4.180016339930263,34.24,Discount
CHOLAFIN,2024,Financials,16.79,10.36,13.52,2.83,-3.9650923712808046,34.24,Discount
BANKBARODA,2024,Financials,16.89,4.15,24.7,2.62,-1.279081332956056,34.24,Discount
PNB,2024,Financials,19.29,10.91,23.64,1.32,-1.6126067787208855,34.24,Discount
ICICIPRULI,2024,Financials,20.83,12.38,22.57,0.35,-0.4580499077779285,34.24,Discount
