amfi_code,scheme_name,fund_house,category,sub_category,expense_ratio_pct,cagr_3yr,sharpe_ratio,alpha_annualised,max_drawdown,r_return,r_sharpe,r_alpha,r_expense,r_maxdd,score,rank,category_best,category_worst
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1.46,0.3400091602163293,1.7297534656740645,0.2698375144191807,-0.11265729075028275,97.5,100.0,85.0,42.50000000000001,82.5,85.9,1,True,False
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1.36,0.317775371512347,1.424242290450087,0.2926358334175106,-0.18188513572116294,90.0,92.5,95.0,62.5,40.0,82.5,2,True,False
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1.45,0.2958277033726251,1.5621857098940621,0.27330465038306057,-0.1297396816518679,85.0,97.5,90.0,44.99999999999999,70.0,81.6,3,True,False
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38,0.32442459421956116,1.3071934067705893,0.2719535450128533,-0.16217208574644848,92.5,85.0,87.5,57.49999999999999,52.5,80.4,4,False,False
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.8,0.3248742855621496,1.1946071219844108,0.2119482701352573,-0.12588275606922517,95.0,77.5,70.0,70.0,72.5,79.6,5,False,False
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1.38,0.35111802096428524,1.1856956730954251,0.2607666908004223,-0.20960883862039192,100.0,75.0,80.0,57.49999999999999,32.5,76.6,6,False,False
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1.54,0.3045652442030289,1.4173751190567725,0.23201007160635082,-0.1501238549864533,87.5,90.0,77.5,23.750000000000004,60.0,73.8,7,False,False
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1.6,0.2917890157839378,1.4837679234382195,0.2827036785246582,-0.1639674294693263,82.5,95.0,92.5,8.750000000000002,50.0,73.3,8,True,True
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6,0.2896769452874166,1.1965133010370854,0.21399784776051212,-0.11291596329323073,80.0,80.0,72.5,8.750000000000002,80.0,67.8,9,False,False
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.43,0.2666992200118774,1.1463657592507006,0.3033696538698332,-0.2870600572176455,72.5,70.0,100.0,47.5,12.5,67.6,10,True,False
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1.52,0.27000426614519246,1.1508514759807427,0.3005787817097677,-0.31171900300634214,77.5,72.5,97.5,33.75,10.0,66.9,11,False,False
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,1.61,0.268699908289022,1.349206503947863,0.26598577542043045,-0.17248105753451382,75.0,87.5,82.5,5.000000000000004,47.5,66.4,12,False,False
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1.51,0.22652359830098634,1.2617425946671663,0.21829397904608644,-0.17414075086657232,67.5,82.5,75.0,38.74999999999999,45.0,66.2,13,False,False
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.66,0.16267372294624916,1.10279657776916,0.1986859936686296,-0.11803493502764295,45.0,67.5,65.0,90.0,75.0,64.4,14,False,False
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.92,0.18434488610520172,0.891038972296905,0.17729754927531766,-0.15200013055606398,55.00000000000001,55.00000000000001,62.5,65.0,57.49999999999999,58.2,15,False,False
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,0.89,0.20008208380471482,0.7572532622123089,0.1513635464823924,-0.1165062450540909,60.0,52.5,45.0,67.5,77.5,58.0,16,True,True
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,0.72,0.2108997654925684,0.7356132348308864,0.15643835948169668,-0.18629743138595511,65.0,47.5,47.5,86.25,37.5,57.6,17,False,False
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1.57,0.1966726206830185,0.9356372262718702,0.17048756803412696,-0.1085986215250232,57.49999999999999,60.0,55.00000000000001,15.000000000000002,85.0,54.0,18,True,True
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,1.52,0.14748035533586012,1.0759309570477826,0.20873010086942337,-0.1527259422823477,42.5,65.0,67.5,33.75,55.00000000000001,53.1,19,True,True
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,1.42,0.13978381933703043,0.9155533152963001,0.17703302365844073,-0.13897862823061635,40.0,57.49999999999999,60.0,50.0,67.5,52.6,20,False,False
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,0.74,0.07394286300360076,0.9648359559273194,0.06746210411099539,-0.0009773140045925555,30.0,62.5,25.0,82.5,100.0,52.0,21,True,False
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,1.41,0.1842199653744454,0.7415933118609795,0.1625385327998104,-0.1982565826298267,52.5,50.0,52.5,52.5,35.0,50.1,22,True,True
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.75,0.20816771175535864,0.15491387233403456,0.08232801295222093,-0.21751396370148224,62.5,27.500000000000004,32.5,80.0,25.0,46.6,23,False,False
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1.64,0.25556187904126526,0.7077806794549565,0.16211256794033255,-0.21539827112383225,70.0,45.0,50.0,1.2499999999999956,27.500000000000004,45.2,24,False,True
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,0.6,0.06695971624586994,0.32419925722598963,0.06455677495375998,-0.0011629327956168556,27.500000000000004,32.5,22.5,92.5,97.5,44.5,25,False,False
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,1.54,0.18044206486636138,0.5268345390589451,0.13173190226099432,-0.14844576917771746,50.0,40.0,42.5,23.750000000000004,62.5,43.3,26,False,False
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.78,0.11245222866621418,0.3414031962238624,0.11989100971217971,-0.21117279560132118,37.5,35.0,37.5,75.0,30.0,41.8,27,False,False
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,1.59,0.1726727508371786,0.5611592114898576,0.13042924450705445,-0.1757361416468729,47.5,42.5,40.0,12.5,42.5,39.0,28,False,False
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,1.53,0.08007927728656083,0.5149411486379396,0.1750072167561127,-0.2334488614483311,35.0,37.5,57.49999999999999,28.749999999999996,22.5,37.9,29,False,False
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,0.77,0.05840358798463097,-0.18645072688091172,0.05620895216638369,-0.04328728923970093,22.5,15.0,17.5,77.5,90.0,34.6,30,True,False
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,0.55,0.040622050237771434,-0.32385206700601016,0.05074772999976104,-0.08316361763638702,20.0,7.5,15.0,97.5,87.5,34.2,31,False,True
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.79,0.06315784491375509,-0.44377123014693864,0.060861457957871144,-0.0016224980244717857,25.0,5.0,20.0,72.5,95.0,33.1,32,False,True
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.56,0.039163899571040384,-0.5433403633707404,0.042817920315060876,-0.04308263824636349,17.5,2.5,7.5,95.0,92.5,30.9,33,True,True
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,1.56,0.07756003551327284,0.0936490029900013,0.0780443887615508,-0.24003511326274884,32.5,25.0,30.0,17.500000000000004,20.0,26.6,34,False,False
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.72,-0.01337386614488112,-0.05196208322030605,0.048824215945539845,-0.5257422117012851,7.5,20.0,12.5,86.25,2.5,22.9,35,False,False
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.64,0.005258871209757432,0.04832594239251393,0.0689952982167755,-0.1440161790933726,12.5,22.5,27.500000000000004,1.2499999999999956,65.0,21.6,36,False,False
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1.53,-0.04152381044854481,0.18554966512814602,0.10897091901704538,-0.3544691649336603,5.0,30.0,35.0,28.749999999999996,7.5,21.1,37,False,False
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1.38,-0.11705806723995271,-0.0717130980937295,0.048015953637759554,-0.5167775370852656,2.5,17.5,10.0,57.49999999999999,5.0,16.2,38,False,True
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.55,0.01292649342495622,-0.1971064559748662,0.03747580763443281,-0.24734440880673303,15.0,12.5,5.0,19.999999999999996,17.5,13.4,39,False,True
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.51,-0.007674063178547241,-0.20370913907757118,0.028969397866379445,-0.2800112356639287,10.0,10.0,2.5,38.74999999999999,15.0,13.3,40,False,True
