amfi_code,scheme_name,sub_category,n_sectors,hhi,hhi_index,top_sector,top_sector_weight_pct,concentrated
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,7,0.2968,2968.0,IT,48.7,True
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,7,0.2551,2551.0,Banking,39.8,True
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,6,0.2532,2532.0,Banking,41.2,True
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,6,0.2513,2513.0,Pharma,39.0,True
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,7,0.2411,2411.0,Pharma,41.3,True
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,7,0.2386,2386.0,Pharma,40.7,True
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,6,0.2375,2375.0,IT,39.4,True
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,7,0.2324,2324.0,Banking,34.1,True
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,7,0.2314,2314.0,Banking,30.4,True
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,7,0.2276,2276.0,Banking,36.0,True
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,7,0.2275,2275.0,Automobile,32.5,True
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,6,0.2228,2228.0,Pharma,35.1,True
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,8,0.2212,2212.0,Banking,35.6,True
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,7,0.2212,2212.0,Banking,34.2,True
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,6,0.2181,2181.0,Banking,33.8,True
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,7,0.2158,2158.0,Pharma,27.5,True
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,6,0.2072,2072.0,Telecom,30.4,True
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,6,0.2013,2013.0,Banking,30.8,True
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,9,0.1887,1887.0,Pharma,32.5,True
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,7,0.1881,1881.0,IT,31.8,True
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,8,0.1842,1842.0,IT,26.7,True
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,7,0.1827,1827.0,Banking,28.6,True
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,7,0.1822,1822.0,FMCG,30.7,True
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,8,0.1807,1807.0,Utilities,29.0,True
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,8,0.1806,1806.0,IT,25.9,True
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,7,0.18,1800.0,Banking,25.1,False
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,6,0.1751,1751.0,FMCG,23.2,False
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,7,0.1724,1724.0,IT,26.9,False
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,8,0.1621,1621.0,Automobile,26.7,False
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,8,0.1603,1603.0,FMCG,25.2,False
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,8,0.1596,1596.0,IT,24.3,False
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,8,0.1425,1425.0,Utilities,21.3,False
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,9,0.1362,1362.0,Utilities,19.9,False
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,10,0.1241,1241.0,Consumer Goods,19.0,False
