amfi_code,scheme_name,sub_category,var_95_daily,cvar_95_daily,var_95_daily_pct,cvar_95_daily_pct
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,-0.02686,-0.03238,-2.686,-3.238
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,-0.02619,-0.03167,-2.619,-3.167
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,-0.02602,-0.03246,-2.602,-3.246
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,-0.02544,-0.0323,-2.544,-3.23
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,-0.02451,-0.0306,-2.451,-3.06
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,-0.02348,-0.03104,-2.348,-3.104
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,-0.01922,-0.02325,-1.922,-2.325
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,-0.01903,-0.02346,-1.903,-2.346
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,-0.01889,-0.02434,-1.889,-2.434
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,-0.01848,-0.02426,-1.848,-2.426
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,-0.01837,-0.02309,-1.837,-2.309
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,-0.01822,-0.02272,-1.822,-2.272
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,-0.01788,-0.02261,-1.788,-2.261
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,-0.01712,-0.02133,-1.712,-2.133
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,-0.01523,-0.01941,-1.523,-1.941
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,-0.01471,-0.01876,-1.471,-1.876
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,-0.01459,-0.01831,-1.459,-1.831
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,-0.01451,-0.01838,-1.451,-1.838
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,-0.01447,-0.0184,-1.447,-1.84
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,-0.01439,-0.0194,-1.439,-1.94
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,-0.01436,-0.01806,-1.436,-1.806
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,-0.01423,-0.01749,-1.423,-1.749
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,-0.01395,-0.01762,-1.395,-1.762
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,-0.01375,-0.01733,-1.375,-1.733
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,-0.01373,-0.01749,-1.373,-1.749
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,-0.01356,-0.01762,-1.356,-1.762
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,-0.01355,-0.01745,-1.355,-1.745
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,-0.0135,-0.01734,-1.35,-1.734
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,-0.01344,-0.01663,-1.344,-1.663
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,-0.01328,-0.01744,-1.328,-1.744
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,-0.01314,-0.01636,-1.314,-1.636
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,-0.01285,-0.0164,-1.285,-1.64
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,-0.01261,-0.01549,-1.261,-1.549
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,-0.01255,-0.01618,-1.255,-1.618
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,-0.00394,-0.00501,-0.394,-0.501
118636,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,-0.0038,-0.00492,-0.38,-0.492
100025,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,-0.00379,-0.00499,-0.379,-0.499
120844,Kotak Liquid Fund - Regular - Growth,Liquid,-0.00028,-0.00041,-0.028,-0.041
101208,ABSL Liquid Fund - Regular - Growth,Liquid,-0.00027,-0.00042,-0.027,-0.042
120507,ICICI Pru Liquid Fund - Regular - Growth,Liquid,-0.00022,-0.00037,-0.022,-0.037
